segment	rtt	rttvar	srtt	rto
0	47.2148	23.6074	47.2148	236.074
1	53.8104	22.7568	47.3797	229.434
2	55.4142	22.1434	47.5471	224.694
3	56.8096	21.6067	47.7401	220.594
4	58.2159	21.2092	47.9271	217.6
5	59.6415	20.8701	48.1363	215.097
6	61.0825	20.6224	48.3386	213.318
7	62.4853	20.4201	48.5596	211.92
8	63.8792	20.2784	48.7724	210.999
9	65.3489	20.1756	49.0026	210.407
10	19.6947	20.4039	48.6363	211.867
11	21.094	20.5823	48.292	212.951
12	15.9391	20.8498	47.9244	214.723
13	17.361	21.0706	47.5771	216.142
14	17.1976	21.2645	47.2606	217.377
15	18.622	21.4182	46.9623	218.308
16	18.7363	21.5491	46.6909	219.083
17	20.1892	21.6443	46.4361	219.591
18	20.0869	21.7283	46.2008	220.027
19	21.6446	21.7788	45.9815	220.212
20	22.6205	21.8052	45.7869	220.228
21	24.2483	21.8008	45.6074	220.013
22	24.3281	21.7926	45.4411	219.782
23	25.8787	21.7578	45.2883	219.35
24	25.99	21.7216	45.1464	218.919
25	27.5547	21.6609	45.0171	218.304
26	27.6821	21.6008	44.8967	217.703
27	29.2688	21.5178	44.7881	216.931
28	29.3582	21.4377	44.6866	216.188
29	30.8277	21.338	44.5955	215.299
30	30.8523	21.2431	44.5096	214.454
31	34.3585	21.1044	44.4461	213.281
32	34.1334	20.9759	44.3847	212.192
33	35.2632	20.8348	44.3304	211.009
34	34.9954	20.7041	44.2774	209.91
35	36.1435	20.5613	44.2312	208.721
36	35.9029	20.4283	44.1859	207.612
37	37.2149	20.282	44.148	206.404
38	36.9674	20.1456	44.1106	205.275
39	38.1433	19.9979	44.0795	204.063
40	37.9096	19.8596	44.0487	202.925
41	39.0866	19.7106	44.0239	201.709
42	38.8032	19.5713	43.9988	200.569
43	39.9847	19.4217	43.9795	200
44	39.7414	19.2811	43.9599	200
45	40.9345	19.1306	43.9459	200
46	40.8851	18.9871	43.9322	200
47	42.1719	18.8333	43.9243	200
48	42.042	18.6872	43.9162	200
49	43.3815	18.5307	43.9139	200
50	42.3659	18.3892	43.9075	200
51	43.6968	18.2377	43.9066	200
52	43.4877	18.094	43.9049	200
53	44.9057	17.9561	43.9089	200
54	44.8092	17.8229	43.9124	200
55	46.2454	17.7019	43.9216	200
56	46.0854	17.5841	43.9298	200
57	47.4785	17.4778	43.9432	200
58	47.3323	17.3742	43.9557	200
59	48.6648	17.2811	43.973	200
60	48.5367	17.1903	43.9893	200
61	49.9791	17.1103	44.0107	200
62	49.873	17.0321	44.031	200
63	51.2535	16.964	44.0561	200
64	51.036	16.8966	44.0797	200
65	52.3876	16.8385	44.1077	200
66	52.217	16.7811	44.1344	200
67	53.6419	16.7332	44.1657	200
68	53.5802	16.6863	44.1959	200
69	54.9646	16.6484	44.2304	200
70	54.8368	16.6106	44.2635	200
71	56.1668	16.5812	44.3007	200
72	54.0252	16.5394	44.3304	200
73	55.4563	16.5064	44.3643	200
74	55.8002	16.4762	44.3983	200
75	57.1331	16.4539	44.4362	200
76	57.3667	16.4335	44.4738	200
77	58.6991	16.4206	44.5152	200
78	58.9439	16.4093	44.5562	200
79	60.3256	16.4057	44.601	200
80	60.664	16.4038	44.6456	200
81	62.0432	16.4093	44.6939	200
82	62.2679	16.4156	44.7417	200
83	63.6569	16.4292	44.7931	200
84	63.7063	16.4424	44.8434	200
85	65.0337	16.4623	44.8971	200
86	65.2706	16.4827	44.9501	200
87	66.7206	16.5102	45.0068	200
88	66.9675	16.5381	45.0628	200
89	68.3303	16.5724	45.1222	200
90	68.5463	16.6066	45.1807	200
91	69.9167	16.6473	45.2426	200
92	70.1228	16.6876	45.3036	200
93	71.544	16.7345	45.3679	200
94	71.7577	16.7809	45.4313	200
95	73.1665	16.8336	45.498	200
96	73.3467	16.8855	45.5637	200
97	74.683	16.9432	45.6323	200
98	74.9066	17.0003	45.7001	200
99	76.3395	17.0635	45.771	200
100	76.563	17.1259	45.841	200
101	77.9012	17.1937	45.9139	200
102	78.0853	17.2606	45.9857	200
103	79.4283	17.3328	46.0603	200
104	79.4934	17.4035	46.1336	200
105	80.8288	17.4793	46.2097	200
106	80.8586	17.5533	46.2844	200
107	82.2418	17.6326	46.3619	200
108	82.2911	17.7102	46.438	200
109	83.6156	17.7926	46.5168	200
110	83.6459	17.8732	46.5941	200
111	84.9631	17.9586	46.6741	200
112	85.0191	18.0422	46.7526	200
113	86.343	18.1305	46.8338	200
114	86.4357	18.2171	46.9136	200
115	87.8298	18.3086	46.9961	200
116	87.7633	18.3977	47.077	200
117	89.1078	18.4915	47.1604	200
118	89.0806	18.583	47.2423	200
119	90.4554	18.6792	47.3267	200
120	90.3747	18.7729	47.4094	200
121	91.7772	18.8714	47.4948	200
122	91.8964	18.9681	47.5789	200
123	93.266	19.0693	47.6654	200.22
124	93.2139	19.1681	47.7504	201.095
125	94.5459	19.2712	47.8377	202.007
126	94.612	19.3723	47.9237	202.902
127	95.9954	19.4778	48.012	203.834
128	96.1365	19.5816	48.0992	204.752
129	97.5344	19.6898	48.1888	205.707
130	97.4951	19.7955	48.2768	206.641
131	98.8377	19.9054	48.3671	207.61
132	98.7561	20.0128	48.4558	208.558
133	100.09	20.1241	48.5467	209.539
134	100.09	20.2332	48.6362	210.502
135	101.538	20.3466	48.728	211.501
136	101.483	20.4576	48.8184	212.479
137	102.908	20.5728	48.911	213.493
138	102.944	20.6858	49.0023	214.489
139	104.264	20.8026	49.0956	215.517
140	104.27	20.9172	49.1876	216.525
141	105.619	21.0356	49.2816	217.566
142	105.634	21.1518	49.3743	218.588
143	107.058	21.2719	49.4692	219.645
144	107.067	21.3899	49.5627	220.682
145	108.41	21.5115	49.6582	221.75
146	108.415	21.6309	49.7524	222.799
147	109.745	21.7538	49.8485	223.879
148	109.733	21.8745	49.9433	224.939
149	111.094	21.9988	50.04	226.03
150	111.22	22.1212	50.1356	227.105
151	112.691	22.2476	50.2334	228.214
152	112.805	22.372	50.3299	229.306
153	114.142	22.4999	50.4284	230.428
154	114.041	22.6253	50.5254	231.528
155	115.408	22.7541	50.6243	232.657
156	115.317	22.8804	50.7217	233.765
157	116.771	23.0105	50.8212	234.905
158	116.687	23.138	50.9192	236.023
159	118.165	23.2693	51.0193	237.173
160	118.386	23.399	51.1183	238.31
161	119.922	23.5325	51.2195	239.48
162	120.104	23.6644	51.3196	240.634
163	121.669	23.8001	51.4219	241.822
164	121.871	23.9341	51.5231	242.996
165	123.404	24.0719	51.6264	244.202
166	123.663	24.2082	51.7287	245.394
167	125.154	24.348	51.833	246.617
168	125.292	24.4859	51.9362	247.824
169	126.849	24.6276	52.0414	249.062
170	126.962	24.7673	52.1454	250.284
171	128.502	24.9106	52.2515	251.536
172	128.541	25.0517	52.3563	252.77
173	129.731	25.1955	52.4626	254.026
174	129.602	25.3366	52.5674	255.26
175	130.775	25.4803	52.6736	256.516
176	130.586	25.6212	52.7784	257.748
177	131.933	25.7652	52.8847	259.006
178	131.806	25.9065	52.9897	260.242
179	132.976	26.0504	53.0961	261.499
180	132.915	26.1918	53.2011	262.736
181	134.124	26.3359	53.3076	263.995
182	133.964	26.4773	53.4126	265.231
183	135.144	26.6212	53.519	266.489
184	134.88	26.7623	53.6238	267.722
185	136.091	26.9059	53.7301	268.977
186	136.044	27.0472	53.8351	270.213
187	137.386	27.1914	53.9417	271.473
188	137.367	27.3334	54.047	272.714
189	138.712	27.4781	54.1539	273.979
190	138.777	27.621	54.2597	275.228
191	140.232	27.7669	54.3672	276.502
192	140.519	27.9114	54.4738	277.765
193	141.615	28.058	54.5816	279.046
194	141.559	28.2024	54.6882	280.308
195	143.044	28.3499	54.7965	281.595
196	143.675	28.4968	54.9044	282.879
197	144.797	28.6458	55.0135	284.18
198	144.606	28.7923	55.1211	285.459
199	145.81	28.9411	55.2301	286.759
200	145.567	29.0873	55.3377	288.036
201	146.678	29.2355	55.4464	289.33
202	146.581	29.3815	55.5539	290.606
203	147.764	29.5297	55.6626	291.9
204	147.401	29.675	55.7698	293.17
205	148.737	29.8229	55.8784	294.461
206	148.574	29.9684	55.9857	295.733
207	149.742	30.1161	56.0942	297.023
208	149.218	30.2606	56.201	298.286
209	150.413	30.4073	56.309	299.567
210	150.24	30.5516	56.4158	300.829
211	151.393	30.6981	56.5237	302.108
212	151.233	30.8422	56.6304	303.368
213	152.394	30.9884	56.7382	304.646
214	152.185	31.1323	56.8447	305.903
215	153.34	31.2782	56.9524	307.178
216	153.191	31.4219	57.0589	308.434
217	154.338	31.5676	57.1665	309.708
218	154.058	31.7109	57.2727	310.96
219	155.357	31.8565	57.3803	312.232
220	154.728	31.9988	57.4861	313.477
221	155.473	32.1423	57.5926	314.731
222	154.654	32.2822	57.6972	315.955
223	155.336	32.423	57.8024	317.187
224	154.543	32.5605	57.9058	318.39
225	155.117	32.6986	58.0096	319.599
226	154.51	32.8338	58.1118	320.782
227	155.265	32.9701	58.2148	321.975
228	154.726	33.1036	58.3161	323.145
229	155.297	33.2377	58.418	324.32
230	154.582	33.3688	58.5182	325.469
