time	cwndsize
0.0295117	11
0.0300221	12
0.0306861	13
0.0314487	14
0.0320767	15
0.0329014	16
0.033797	17
0.0341564	18
0.0349778	19
0.035548	20
0.0362108	21
0.0369149	22
0.0376225	23
0.0382911	24
0.0389889	25
0.0396684	26
0.0403103	27
0.0412519	28
0.0417023	29
0.0424392	30
0.0433118	31
0.0439285	32
0.0445926	33
0.0452614	34
0.045951	35
0.0466827	36
0.0473332	37
0.0481496	38
0.0487075	39
0.0494255	40
0.0500864	41
0.051056	42
0.0515504	43
0.0522492	44
0.0529385	45
0.053529	46
0.0542217	47
0.0549047	48
0.0556781	49
0.0562775	50
0.0570323	51
0.0576448	52
0.0583633	53
0.0590228	54
0.0597629	55
0.0603997	56
0.0611652	57
0.0621961	58
0.0624526	59
0.0631564	60
0.0639116	61
0.0645213	62
0.0652106	63
0.0659595	64
0.0665918	65
0.0672904	66
0.0679589	67
0.0686351	68
0.0693983	69
0.0700985	70
0.0707244	71
0.0714062	72
0.0721102	73
0.0728252	74
0.073527	75
0.0741319	76
0.074844	77
0.0755338	78
0.0762486	79
0.076944	80
0.0776093	81
0.0783645	82
0.078997	83
0.0798368	84
0.0803543	85
0.0810974	86
0.0817419	87
0.0823982	88
0.0830748	89
0.0837802	90
0.0845195	91
0.0851635	92
0.085894	93
0.0866242	94
0.0872133	95
0.08792	96
0.0887044	97
0.0892599	98
0.0899838	99
0.090737	100
0.0913937	101
0.0920998	102
0.0927663	103
0.0934345	104
0.0941786	105
0.0947857	106
0.095471	107
0.0962058	108
0.0968492	109
0.0976391	110
0.0982866	111
0.0989587	112
0.0996174	113
0.100284	114
0.101054	115
0.101797	116
0.102404	117
0.103056	118
0.103749	119
0.104469	120
0.105141	121
0.105798	122
0.1065	123
0.107186	124
0.107871	125
0.108622	126
0.109291	127
0.109977	128
0.110676	129
0.111371	130
0.112019	131
0.112706	132
0.113425	133
0.11412	134
0.114752	135
0.11552	136
0.116134	137
0.117202	138
0.117592	139
0.118327	140
0.119001	141
0.119598	142
0.12036	143
0.120943	144
0.121683	145
0.12238	146
0.123009	147
0.123724	148
0.124419	149
0.125091	150
0.125783	151
0.126503	152
0.12713	153
0.127845	154
0.12851	155
0.129257	156
0.129864	157
0.130545	158
0.131234	159
0.13192	160
0.132718	161
0.133314	162
0.13402	163
0.134732	164
0.135365	165
0.136103	166
0.136772	167
0.13743	168
0.138147	169
0.138797	170
0.139579	171
0.140246	172
0.1409	173
0.141581	174
0.142313	175
0.142978	176
0.14366	177
0.144472	178
0.14506	179
0.145735	180
0.146361	181
0.147045	182
0.147777	183
0.148457	184
0.149284	185
0.149831	186
0.150495	187
0.151182	188
0.151921	189
0.152616	190
0.153307	191
0.15398	192
0.154716	193
0.155333	194
0.156045	195
0.156718	196
0.157432	197
0.158089	198
0.15879	199
0.159438	200
0.160145	201
0.160889	202
0.161638	203
0.162439	204
0.16307	205
0.163743	206
0.164517	207
0.165049	208
0.165681	209
0.166386	210
0.167051	211
0.167863	212
0.168476	213
0.169198	214
0.16986	215
0.170527	216
0.171188	217
0.172057	218
0.172549	219
0.173311	220
0.173922	221
0.174637	222
0.175364	223
0.176315	224
0.176694	225
0.17744	226
0.17823	227
0.178761	228
0.179485	229
0.180107	230
0.180821	231
0.18154	232
0.182196	233
0.182924	234
0.183593	235
0.184321	236
0.185005	237
0.185624	238
0.186343	239
0.187002	240
0.187714	241
0.188403	242
0.189153	243
0.189773	244
0.19048	245
0.191141	246
0.191864	247
0.192574	248
0.193275	249
0.193894	250
0.194572	251
0.195266	252
0.195939	253
0.196653	254
0.197294	255
0.197998	256
0.198703	257
0.199402	258
0.200098	259
0.200761	260
0.201458	261
0.202171	262
0.202865	263
0.203514	264
0.204213	265
0.204891	266
0.205587	267
0.206259	268
0.207025	269
0.207634	270
0.208378	271
0.209203	272
0.20985	273
0.210434	274
0.211127	275
0.211806	276
0.212475	277
0.213184	278
0.213913	279
0.214552	280
0.215283	281
0.215966	282
0.216622	283
0.21732	284
0.217994	285
0.218682	286
0.219388	287
0.220133	288
0.220755	289
0.221475	290
0.222121	291
0.222806	292
0.223535	293
0.224181	294
0.224915	295
0.225568	296
0.226259	297
0.227013	298
0.227667	299
0.228312	300
0.229045	301
0.229677	302
0.230363	303
0.231036	304
0.231773	305
0.232467	306
0.233177	307
0.233825	308
0.234683	309
0.235325	310
0.236069	155
0.236713	155.006
0.23738	155.013
0.238081	155.019
0.238733	155.026
0.239446	155.032
0.240121	155.039
0.240848	155.045
0.241549	155.052
0.242222	155.058
0.242903	155.065
0.243548	155.071
0.244197	155.077
0.24497	155.084
0.245609	155.09
0.246366	155.097
0.247008	155.103
0.24767	155.11
0.248481	155.116
0.249151	155.123
0.249868	155.129
0.250498	155.135
0.251184	155.142
0.251933	155.148
0.252614	155.155
0.253276	155.161
0.254021	155.168
0.254742	155.174
0.25536	155.181
0.256102	155.187
0.256786	155.194
0.257402	155.2
0.258133	155.206
0.258791	155.213
0.259518	155.219
0.260198	155.226
0.260822	155.232
0.261548	155.239
0.262217	155.245
0.262908	155.252
0.263567	155.258
0.264321	155.265
0.26501	155.271
0.265695	155.277
0.266386	155.284
0.267128	155.29
0.267743	155.297
0.26837	155.303
0.269113	155.31
0.269754	155.316
0.270554	155.323
0.271232	155.329
0.271923	155.335
0.27263	155.342
0.273217	155.348
0.27403	155.355
0.274568	155.361
0.275402	155.368
0.275937	155.374
0.27692	155.381
0.277365	155.387
0.278047	155.394
0.278699	155.4
0.279443	155.406
0.280174	155.413
0.280791	155.419
0.281485	155.426
0.282156	155.432
0.282852	155.439
0.283518	155.445
0.284204	155.452
0.285034	155.458
0.285811	155.465
0.286444	155.471
0.287089	155.477
0.287785	155.484
0.288459	155.49
0.289234	155.497
0.289803	155.503
0.29058	155.51
0.291567	155.516
0.292146	155.523
0.292826	155.529
0.293535	155.535
0.294192	155.542
0.294931	155.548
0.295625	155.555
0.296284	155.561
0.297	155.568
0.29777	155.574
0.298333	155.581
0.298957	155.587
0.299674	155.594
0.300372	155.6
0.301056	155.606
0.301724	155.613
0.302483	155.619
0.30311	155.626
0.303858	155.632
0.304486	155.639
0.305206	155.645
0.306022	155.652
0.306714	155.658
0.307492	155.665
0.308077	155.671
0.308748	155.677
0.309505	155.684
0.310194	155.69
0.310834	155.697
0.31154	155.703
0.312229	155.71
0.312964	155.716
0.313637	155.723
0.314274	155.729
0.314961	155.735
0.315814	155.742
0.316381	155.748
0.317155	155.755
0.317887	155.761
0.318564	155.768
0.319295	155.774
0.319977	155.781
0.32056	155.787
0.321287	155.794
0.322033	155.8
0.322682	155.806
0.323345	155.813
0.324047	155.819
0.324654	155.826
0.325343	155.832
0.326129	155.839
0.326758	155.845
0.327521	155.852
0.328131	155.858
0.328854	155.865
0.329475	155.871
