segment	rtt	rttvar	srtt	rto
0	37.5739	18.787	37.5739	200
1	38.4157	17.8897	37.595	200
2	38.9339	17.2001	37.6229	200
3	39.6907	16.5696	37.6659	200
4	41.0675	16.0993	37.7267	200
5	41.6005	15.6627	37.7959	200
6	42.3825	15.3165	37.8675	200
7	43.0492	14.9998	37.9485	200
8	43.8985	14.7484	38.0311	200
9	44.5852	14.5208	38.1221	200
10	7.57418	14.9215	37.7403	200
11	8.24635	15.2858	37.3716	200
12	8.11486	15.6033	37.0392	200
13	8.77955	15.891	36.718	200
14	8.9419	16.1386	36.4287	200
15	10.0755	16.3514	36.1542	200
16	10.0101	16.5397	35.9028	200
17	10.6794	16.7067	35.6603	200
18	10.0043	16.8665	35.4312	200
19	10.6857	17.0072	35.2102	200
20	10.8262	17.1301	35.007	200
21	11.5307	17.2359	34.8114	200
22	11.4157	17.3322	34.6286	200
23	12.2944	17.4103	34.4541	200
24	12.2748	17.4804	34.2911	200
25	13.1098	17.5349	34.1353	200
26	12.7988	17.5877	33.9871	200
27	13.5112	17.6278	33.8449	200
28	13.5063	17.6635	33.7111	200
29	14.1959	17.6878	33.5828	200
30	14.2578	17.7083	33.462	200
31	14.9487	17.7183	33.3463	200
32	15.0385	17.7254	33.2373	200
33	15.6636	17.7236	33.1327	200
34	15.7198	17.72	33.0337	200
35	16.3295	17.7085	32.9388	200
36	16.3415	17.6964	32.8486	200
37	17.0073	17.6762	32.7625	200
38	17.1086	17.6552	32.681	200
39	17.7548	17.6267	32.6033	200
40	17.3197	17.6033	32.5268	200
41	18.0072	17.5725	32.4542	200
42	18.0752	17.5418	32.3851	200
43	18.8517	17.5032	32.32	200
44	18.7447	17.4669	32.2572	200
45	19.4132	17.4241	32.1977	200
46	19.4103	17.3827	32.1407	200
47	20.088	17.3351	32.0868	200
48	20.0951	17.289	32.0352	200
49	20.7735	17.237	31.9866	200
50	20.791	17.1867	31.94	200
51	21.4697	17.1307	31.8963	200
52	21.4865	17.0765	31.8544	200
53	22.1421	17.0171	31.8152	200
54	22.1717	16.9595	31.7775	200
55	22.8583	16.8967	31.7427	200
56	22.6636	16.8375	31.7083	200
57	23.4098	16.7728	31.6769	200
58	23.5477	16.7092	31.647	200
59	24.1138	16.6418	31.6193	200
60	23.933	16.5778	31.5918	200
61	24.6009	16.5093	31.5669	200
62	24.9744	16.4405	31.544	200
63	25.6477	16.3672	31.5235	200
64	25.4959	16.2974	31.5031	200
65	26.23	16.2229	31.4853	200
66	26.1966	16.1509	31.4679	200
67	26.8881	16.0748	31.4529	200
68	26.8729	16.0011	31.4382	200
69	27.5506	15.9235	31.4257	200
70	27.6334	15.8477	31.4139	200
71	28.2928	15.7681	31.4041	200
72	28.2447	15.6912	31.3945	200
73	28.9253	15.6106	31.3869	200
74	28.9135	15.5324	31.3796	200
75	29.6533	15.4502	31.3744	200
76	29.6644	15.3703	31.3695	200
77	30.2996	15.2872	31.3664	200
78	30.4987	15.2053	31.3639	200
79	31.051	15.1207	31.363	200
80	31.1902	15.0376	31.3625	200
81	31.8691	14.9569	31.3639	200
82	31.9035	14.8785	31.3654	200
83	32.4889	14.8038	31.3685	200
84	32.5622	14.7314	31.3716	200
85	33.287	14.6632	31.3767	200
86	33.2093	14.5964	31.3815	200
87	33.8696	14.5333	31.388	200
88	33.8529	14.4717	31.3943	200
89	34.98	14.4162	31.4034	200
90	34.8263	14.3612	31.412	200
91	35.5456	14.3101	31.4223	200
92	35.5504	14.2602	31.4324	200
93	36.2292	14.2138	31.4442	200
94	36.1359	14.168	31.4554	200
95	36.8979	14.1261	31.4685	200
96	36.7325	14.0843	31.4809	200
97	37.502	14.0462	31.4951	200
98	37.5363	14.0092	31.5091	200
99	38.2153	13.9754	31.5247	200
100	38.2621	13.9425	31.54	200
101	39.1676	13.9138	31.5573	200
102	39.0401	13.885	31.574	200
103	39.7628	13.8596	31.5923	200
104	39.7901	13.8348	31.6103	200
105	40.4366	13.8128	31.6296	200
106	40.3892	13.791	31.6485	200
107	41.1003	13.7723	31.6689	200
108	41.1659	13.7542	31.689	200
109	41.8104	13.7388	31.7104	200
110	41.7884	13.7236	31.7314	200
111	42.4414	13.711	31.7537	200
112	42.4956	13.6988	31.7757	200
113	43.1302	13.6892	31.799	200
114	43.1487	13.6798	31.8219	200
115	43.8623	13.6732	31.8462	200
116	43.8342	13.6665	31.8699	200
117	44.5367	13.6625	31.8951	200
118	44.5198	13.6585	31.9197	200
119	45.2921	13.6574	31.9459	200
120	45.2239	13.6559	31.9714	200
121	46.0428	13.6575	31.9984	200
122	45.9206	13.6585	32.0248	200
123	46.6189	13.662	32.0525	200
124	46.552	13.6652	32.0795	200
125	47.2191	13.6707	32.1078	200
126	47.1467	13.6757	32.1354	200
127	48.0081	13.6838	32.1646	200
128	47.9569	13.6914	32.1932	200
129	48.7039	13.7016	32.2231	200
130	48.7862	13.7118	32.2527	200
131	49.3537	13.7239	32.2832	200
132	49.4394	13.736	32.3134	200
133	50.1312	13.7504	32.3448	200
134	50.1895	13.7646	32.3758	200
135	50.8921	13.7811	32.4079	200
136	50.8615	13.7971	32.4395	200
137	51.5899	13.8155	32.4723	200
138	51.6582	13.8336	32.5047	200
139	52.3801	13.854	32.5383	200
140	52.3104	13.8737	32.5712	200
141	53.0321	13.8957	32.6053	200
142	53.117	13.9175	32.6391	200
143	53.8145	13.9413	32.6739	200
144	53.7165	13.9644	32.7081	200
145	54.4052	13.9895	32.7433	200
146	54.3985	14.0141	32.778	200
147	55.1405	14.0408	32.8138	200
148	55.1622	14.0671	32.8492	200
149	55.8918	14.0955	32.8856	200
150	55.7636	14.123	32.9214	200
151	56.5745	14.1527	32.9583	200
152	56.4783	14.1816	32.9946	200
153	57.2413	14.2127	33.0321	200
154	57.2697	14.2433	33.069	200
155	57.9278	14.2756	33.1069	200
156	57.9222	14.3074	33.1443	200
157	58.5879	14.3409	33.1826	200
158	58.5834	14.3738	33.2204	200
159	59.2692	14.4086	33.2591	200
160	59.2532	14.4427	33.2974	200
161	59.9117	14.4785	33.3365	200
162	59.9576	14.5138	33.3752	200
163	60.5857	14.5507	33.4148	200
164	60.6528	14.5871	33.4539	200
165	61.4175	14.6256	33.4941	200
166	61.141	14.6626	33.5333	200
167	61.8223	14.7013	33.5735	200
