I/O stats: 100 calls, 99 μs total, 0 μs avg
I/O stats: 200 calls, 189 μs total, 0 μs avg
I/O stats: 300 calls, 289 μs total, 0 μs avg
I/O stats: 400 calls, 391 μs total, 0 μs avg
I/O stats: 500 calls, 482 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 154
I/O stats: 600 calls, 572 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 154
I/O stats: 700 calls, 635 μs total, 0 μs avg
I/O stats: 800 calls, 716 μs total, 0 μs avg
I/O stats: 900 calls, 786 μs total, 0 μs avg
I/O stats: 1000 calls, 868 μs total, 0 μs avg
I/O stats: 1100 calls, 964 μs total, 0 μs avg
I/O stats: 1200 calls, 1067 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 77.9903
Received congestion mark, value = 1, new cwnd = 77.9903
I/O stats: 1300 calls, 1194 μs total, 0 μs avg
I/O stats: 1400 calls, 1300 μs total, 0 μs avg
I/O stats: 1500 calls, 1398 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 39.951
Received congestion mark, value = 1, new cwnd = 39.951
