segment	rtt	rttvar	srtt	rto
0	3.9198	1.9599	3.9198	200
1	4.14646	1.87324	3.92546	200
2	4.82625	1.83272	3.94423	200
3	5.57901	1.82447	3.97829	200
4	6.2157	1.83922	4.01824	200
5	6.89717	1.87635	4.06965	200
6	7.62226	1.92873	4.12516	200
7	8.24802	1.9973	4.18958	200
8	8.96702	2.07452	4.25593	200
9	9.71426	2.16852	4.33174	200
10	6.45902	2.16749	4.35833	200
11	6.99458	2.17921	4.39128	200
12	7.54291	2.20131	4.4271	200
13	8.20304	2.23709	4.47	200
14	8.22504	2.26872	4.50912	200
15	8.87624	2.31243	4.55461	200
16	8.84047	2.35038	4.59582	200
17	9.52253	2.39993	4.64319	200
18	9.57608	2.44516	4.68723	200
19	10.2904	2.50155	4.73726	200
20	10.2979	2.55253	4.7836	200
21	10.9872	2.61338	4.8353	200
22	10.921	2.66764	4.88284	200
23	11.6191	2.73121	4.93547	200
24	11.6832	2.79028	4.98508	200
25	12.4104	2.85844	5.03968	200
26	12.3377	2.9201	5.09036	200
27	13.2533	2.99291	5.14704	200
28	13.0418	3.05741	5.19898	200
29	13.7574	3.12979	5.25529	200
30	13.692	3.19613	5.30802	200
31	14.3936	3.26975	5.3648	200
32	14.6046	3.34082	5.4198	200
33	15.2045	3.41753	5.47804	200
34	15.1902	3.48906	5.53322	200
35	15.88	3.56699	5.59201	200
36	15.9007	3.64026	5.64804	200
37	16.5798	3.71952	5.70745	200
38	16.5907	3.79414	5.76413	200
39	17.2703	3.87447	5.82406	200
40	17.2999	3.95049	5.88144	200
41	17.9755	4.03192	5.94191	200
42	17.9772	4.10888	5.99977	200
43	18.635	4.19086	6.06051	200
44	18.6172	4.26832	6.11864	200
45	19.3791	4.35158	6.18004	200
46	19.3817	4.4306	6.23897	200
47	20.0694	4.51452	6.30071	200
48	20.0392	4.59404	6.35993	200
49	20.6861	4.67794	6.42168	200
50	20.9983	4.76043	6.48241	200
51	21.6444	4.84711	6.54559	200
52	21.6957	4.93019	6.60668	200
53	22.2619	5.01669	6.6698	200
54	22.3828	5.10025	6.73118	200
55	23.0335	5.18777	6.79486	200
56	22.9598	5.27093	6.85609	200
57	23.6691	5.35837	6.91978	200
58	23.6471	5.44196	6.98127	200
59	24.3306	5.52951	7.04506	200
60	24.285	5.61316	7.10663	200
61	24.9591	5.70058	7.17039	200
62	25.0181	5.78494	7.23236	200
63	25.7077	5.87307	7.29651	200
64	25.4765	5.95622	7.35793	200
65	26.1689	6.04308	7.42148	200
66	26.3088	6.12758	7.48361	200
67	27.0009	6.21567	7.54781	200
