time	cwndsize
0.260145	11
0.26044	12
0.260946	13
0.261724	14
0.26244	15
0.263033	16
0.263775	17
0.264443	18
0.267159	19
0.270481	20
0.271755	21
0.27399	22
0.278443	23
0.283119	24
0.283172	25
0.28599	26
0.289569	27
0.290098	28
0.295356	29
0.297107	30
0.297165	31
0.299209	32
0.302364	33
0.302425	34
0.304456	35
0.307793	36
0.310301	37
0.313363	38
0.315675	39
0.317206	40
0.318713	41
0.322367	42
0.331362	43
0.331396	44
0.331421	45
0.331435	46
0.337289	47
0.35298	48
0.353101	49
0.362644	50
0.362809	51
0.36677	52
0.382424	53
0.384471	54
0.384543	55
0.386855	56
0.386905	57
0.395758	58
0.410713	59
0.412396	60
0.430487	61
0.435153	62
0.442323	63
0.442373	64
0.442447	65
0.452654	66
0.484667	67
0.490191	68
0.52269	69
0.522879	70
0.522921	71
0.533445	72
0.533485	73
0.551585	74
0.577181	75
0.588761	76
0.599952	77
0.605053	78
0.632417	79
0.635471	80
0.648904	81
0.648971	82
0.654186	83
0.654288	84
0.654307	85
0.654322	86
0.654335	87
0.659753	88
0.670915	89
0.671024	90
0.6762	91
0.676253	92
0.676294	46
0.676409	46.0217
0.687206	46.0435
0.687232	46.0652
0.687242	46.087
0.687262	46.1087
0.687272	46.1304
0.698378	46.1522
0.69841	46.1739
0.70347	46.1957
0.703496	46.2174
0.703507	46.2391
0.725528	46.2609
0.72556	46.2826
0.725615	46.3043
0.731199	46.3261
0.731225	46.3478
0.731236	46.3696
0.769857	46.3913
0.780824	46.413
0.78088	46.4348
0.785899	46.4565
0.797854	46.4783
0.797927	46.5
0.798025	46.5217
0.798079	46.5435
0.81502	46.5652
0.81504	46.587
0.820607	46.6087
0.820637	46.6304
0.820647	46.6522
0.8207	46.6739
0.820713	46.6957
0.820745	46.7174
0.82634	46.7391
0.826369	46.7609
0.82638	46.7826
0.832435	46.8043
0.83246	46.8261
0.83247	46.8478
0.832532	46.8696
0.866141	46.8913
0.866216	46.913
0.871604	46.9348
0.871626	46.9565
0.871704	46.9783
0.87178	47
0.871862	47.0217
0.88268	47.043
0.882714	47.0643
0.882728	47.0856
0.893933	47.1068
0.893963	47.1281
0.893976	47.1494
0.893987	47.1707
0.894047	47.192
0.911288	47.2132
0.916816	47.2345
0.922738	47.2558
0.922753	47.2771
0.934199	47.2983
0.93422	47.3196
0.934232	47.3409
0.934243	47.3622
0.934258	47.3834
0.93427	47.4047
0.939857	47.426
0.939891	47.4473
0.939904	47.4685
0.939916	47.4898
0.939927	47.5111
0.940098	47.5324
0.945684	47.5537
0.94576	47.5749
0.945842	47.5962
0.94591	47.6175
