segment	rtt	rttvar	srtt	rto
0	273.819	136.909	273.819	1369.09
1	276.302	130.188	273.881	1315.38
2	278.609	124.961	273.979	1273.66
3	280.786	120.037	274.121	1234.42
4	283.567	116.088	274.29	1202.99
5	283.636	112.276	274.457	1172.66
6	287.97	109.189	274.668	1148.18
7	288.142	106.198	274.878	1124.46
8	291.067	103.698	275.103	1104.69
9	293.131	101.318	275.354	1085.9
10	23.827	105.073	272.209	1112.8
11	23.9531	108.653	269.106	1138.33
12	25.8576	111.712	266.342	1160.04
13	26.388	114.627	263.615	1180.63
14	24.2316	117.226	261.122	1198.93
15	24.4204	119.715	258.656	1216.37
16	28.6951	121.835	256.445	1231.12
17	29.5167	123.856	254.263	1245.11
18	37.7245	125.511	252.33	1256.42
19	41.6318	127.032	250.448	1266.71
20	42.1446	128.387	248.712	1275.81
21	42.6635	129.681	246.995	1284.44
22	42.4607	130.851	245.397	1292.2
23	42.4922	131.976	243.812	1299.62
24	42.9904	132.989	242.336	1306.25
25	43.0185	133.964	240.87	1312.58
26	40.1062	134.892	239.476	1318.61
27	45.5767	135.712	238.129	1323.82
28	44.0496	136.48	236.852	1328.69
29	44.2178	137.218	235.585	1333.33
30	43.9102	137.899	234.387	1337.58
31	44.1536	138.553	233.198	1341.63
32	44.4987	139.15	232.075	1345.28
33	44.6664	139.725	230.959	1348.76
34	45.9819	140.239	229.908	1351.82
35	46.12	140.734	228.864	1354.74
36	46.7025	141.184	227.874	1357.35
37	49.8754	141.584	226.907	1359.58
38	50.1095	141.951	225.986	1361.6
39	50.2267	142.303	225.071	1363.5
40	55.5373	142.576	224.223	1364.83
41	56.3092	142.829	223.383	1366.02
42	53.8954	143.085	222.569	1367.25
43	54.2452	143.328	221.759	1368.38
44	59.7103	143.501	221.009	1369.02
45	59.9641	143.664	220.263	1369.57
46	49.1288	143.909	219.499	1370.77
47	49.4662	144.142	218.74	1371.88
48	49.2656	144.361	218.01	1372.9
49	49.5472	144.569	217.284	1373.83
50	49.2398	144.764	216.584	1374.7
51	49.3714	144.951	215.887	1375.5
52	53.6421	145.091	215.233	1375.96
53	59.8862	145.173	214.606	1375.99
54	66.6492	145.195	214.028	1375.59
55	66.9165	145.21	213.454	1375.13
56	67.5558	145.215	212.901	1374.62
57	71.1711	145.189	212.364	1373.88
58	71.6407	145.156	211.847	1373.1
59	71.7133	145.119	211.332	1372.28
60	71.7128	145.08	210.833	1371.47
61	71.7299	145.037	210.336	1370.63
62	75.894	144.964	209.869	1369.58
63	76.0435	144.886	209.405	1368.49
64	71.2371	144.841	208.938	1367.66
65	76.2868	144.758	208.49	1366.56
66	75.9393	144.678	208.054	1365.48
67	76.3785	144.593	207.621	1364.36
68	76.7065	144.505	207.201	1363.24
69	80.7352	144.389	206.796	1361.91
70	77.1858	144.297	206.391	1360.77
71	82.4904	144.169	206.003	1359.36
72	82.7324	144.042	205.628	1357.96
73	82.9685	143.912	205.254	1356.55
74	82.9291	143.783	204.89	1355.15
75	86.6774	143.631	204.538	1353.59
76	86.6881	143.481	204.195	1352.04
77	87.1654	143.327	203.855	1350.47
78	81.5362	143.208	203.507	1349.17
79	86.5932	143.058	203.175	1347.64
80	86.8618	142.91	202.852	1346.13
81	87.7199	142.756	202.532	1344.58
82	90.4833	142.589	202.228	1342.94
83	90.8711	142.419	201.925	1341.28
84	99.5892	142.206	201.653	1339.3
85	103.775	141.97	201.393	1337.15
86	103.452	141.741	201.138	1335.06
87	103.502	141.511	200.884	1332.97
88	109.558	141.255	200.651	1330.69
89	109.683	140.998	200.418	1328.4
90	104.399	140.773	200.178	1326.37
91	104.631	140.547	199.94	1324.32
92	104.119	140.328	199.705	1322.33
93	104.866	140.105	199.472	1320.31
94	104.026	139.89	199.243	1318.37
95	104.293	139.674	199.015	1316.41
96	104.415	139.462	198.791	1314.48
97	109.033	139.227	198.58	1312.4
98	102.794	139.026	198.358	1310.57
99	109.974	138.792	198.153	1308.49
100	113.42	138.546	197.961	1306.33
101	113.456	138.3	197.769	1304.17
102	113.332	138.06	197.58	1302.06
103	113.381	137.819	197.392	1299.95
104	113.48	137.583	197.208	1297.87
105	113.668	137.346	197.025	1295.79
106	115.062	137.107	196.849	1293.71
107	115.219	136.868	196.673	1291.62
108	115.097	136.634	196.5	1289.57
109	120.136	136.378	196.338	1287.37
110	120.162	136.128	196.179	1285.2
111	120.58	135.875	196.022	1283.02
112	125.171	135.609	195.877	1280.75
113	125.607	135.341	195.733	1278.46
114	121.087	135.096	195.582	1276.35
115	121.2	134.852	195.432	1274.24
116	120.045	134.616	195.283	1272.21
117	120.494	134.378	195.134	1270.16
118	110.005	134.186	194.968	1268.45
119	121.98	133.947	194.825	1266.4
120	121.956	133.712	194.685	1264.38
121	124.731	133.467	194.551	1262.28
122	124.613	133.226	194.418	1260.23
123	130.064	132.965	194.296	1258.02
124	132.28	132.7	194.181	1255.78
125	132.455	132.435	194.065	1253.55
126	131.641	132.178	193.951	1251.38
127	132.084	131.92	193.837	1249.19
128	141.263	131.632	193.742	1246.8
129	141.358	131.345	193.647	1244.41
130	141.389	131.063	193.554	1242.05
131	141.54	130.78	193.461	1239.7
132	141.704	130.502	193.37	1237.39
133	141.878	130.224	193.279	1235.07
134	143.07	129.946	193.192	1232.76
135	148.319	129.651	193.114	1230.32
