time	cwndsize
0.264452	11
0.265151	12
0.265785	13
0.266666	14
0.267419	15
0.268087	16
0.268747	17
0.270357	18
0.270878	19
0.27296	20
0.274601	21
0.275801	22
0.27783	23
0.27924	24
0.280569	25
0.282657	26
0.284763	27
0.286771	28
0.289132	29
0.29022	30
0.2923	31
0.293669	32
0.295066	33
0.295718	34
0.296437	35
0.297115	36
0.297844	37
0.298699	38
0.299184	39
0.299876	40
0.301298	41
0.302661	42
0.306865	43
0.308328	44
0.317189	45
0.318521	46
0.319915	47
0.322684	48
0.324048	49
0.325436	50
0.326841	51
0.328164	52
0.33046	53
0.331641	54
0.33299	55
0.334415	56
0.338276	57
0.338477	58
0.339355	59
0.340835	60
0.342703	61
0.344071	62
0.345447	63
0.346367	64
0.346887	65
0.347574	66
0.348544	67
0.348941	68
0.349608	69
0.350567	70
0.351135	71
0.351897	72
0.352909	73
0.353199	74
0.353846	75
0.354487	76
0.355285	77
0.355921	78
0.356599	79
0.357337	80
0.362323	81
0.362558	82
0.362754	83
0.363559	84
0.368006	85
0.369831	86
0.372582	87
0.373939	88
0.396245	89
0.396977	90
0.399207	91
0.401272	92
0.403467	93
0.406808	94
0.408139	95
0.409518	96
0.410896	97
0.412977	98
0.414401	49
0.415073	49.0204
0.417085	49.0408
0.418513	49.0612
0.420677	49.0816
0.4226	49.102
0.431001	49.1224
0.431772	49.1429
0.433153	49.1633
0.434567	49.1837
0.435928	49.2041
0.438007	49.2245
0.439381	49.2449
0.440152	49.2653
0.442266	49.2857
0.443429	49.3061
0.443649	49.3265
0.443672	49.3469
0.443696	49.3673
0.444447	49.3878
0.445125	49.4082
0.445784	49.4286
0.44647	49.449
0.44719	49.4694
0.447876	49.4898
0.448503	49.5102
0.449347	49.5306
0.450026	49.551
0.4507	49.5714
0.451322	49.5918
0.451992	49.6122
0.452686	49.6327
0.453362	49.6531
0.454086	49.6735
0.454775	49.6939
0.455626	49.7143
0.456202	49.7347
0.456877	49.7551
0.457557	49.7755
0.458225	49.7959
0.458911	49.8163
0.459757	49.8367
0.460832	49.8571
0.461141	49.8776
0.461756	49.898
0.462455	49.9184
0.463199	49.9388
0.463918	49.9592
0.464568	49.9796
0.465269	50
0.46599	50.02
0.466671	50.04
0.467315	50.06
0.468006	50.08
0.468665	50.1
0.469365	50.12
0.470049	50.14
0.470821	50.16
0.471469	50.18
0.472338	50.2
0.472878	50.22
0.473525	50.24
0.479304	50.26
0.481234	50.28
0.481942	50.3
0.483294	50.32
0.484696	50.34
0.486372	50.36
0.487678	50.38
0.488317	50.4
0.509809	50.42
0.511851	50.44
0.51256	50.46
0.513921	50.48
0.515306	50.5
0.51667	50.52
0.519412	50.54
0.521493	50.56
0.541012	50.58
0.541177	50.6
0.541959	50.62
0.54464	50.64
0.546022	50.66
0.547394	50.68
0.548818	50.7
0.550166	50.72
0.551559	50.74
0.553615	50.76
0.554995	50.78
0.555656	50.8
0.556359	50.82
0.559091	50.84
0.561175	50.86
0.562566	50.88
0.563495	50.9
0.564084	50.92
0.564682	50.94
0.565389	50.96
0.573075	50.98
0.573758	51
0.574443	51.0196
0.575126	51.0392
0.575798	51.0588
0.576503	51.0784
0.577876	51.098
0.579262	51.1176
0.580648	51.1373
0.582697	51.1569
0.583382	51.1765
0.585467	51.1961
0.586858	51.2157
0.58825	51.2353
0.607644	51.2549
0.608357	51.2745
0.608997	51.2941
0.610378	51.3137
0.611104	51.3333
0.611713	51.3529
0.612637	51.3725
0.613102	51.3922
0.628949	25.6961
0.629624	25.7361
0.630318	25.7761
0.631144	25.8161
0.631736	25.8561
0.632378	25.8961
0.633078	25.9361
0.634474	25.9761
0.642767	26.0161
0.643114	26.0545
0.64349	26.093
0.643566	26.1315
0.643656	26.1699
0.643909	26.2084
0.647325	26.2468
0.647996	26.2853
0.648666	26.3238
0.649357	26.3622
0.650028	26.4007
0.650735	26.4392
0.65284	26.4776
0.653493	26.5161
0.654869	26.5545
0.656936	26.593
0.660113	26.6315
0.662478	26.6699
0.66387	26.7084
0.665213	26.7468
0.67628	26.7853
0.676973	26.8238
0.677649	26.8622
0.678358	26.9007
0.67908	26.9392
0.679738	26.9776
0.68042	27.0161
0.681113	27.0531
0.681795	27.0902
0.682517	27.1272
0.683183	27.1642
0.68387	27.2013
0.68456	27.2383
0.685276	27.2753
0.685942	27.3124
0.691582	27.3494
0.691684	27.3864
0.692311	27.4235
0.692978	27.4605
0.693645	27.4976
0.694339	27.5346
0.69504	27.5716
0.695739	27.6087
0.761741	27.6457
0.7624	27.6827
0.764465	27.7198
0.775713	27.7568
0.777086	27.7939
0.778444	27.8309
0.779852	27.8679
0.78052	27.905
0.781231	27.942
0.781891	27.979
0.782609	28.0161
0.783275	28.0518
0.783953	28.0875
0.784625	28.1232
0.785319	28.1589
0.7867	28.1946
0.788739	28.2304
0.792894	28.2661
0.79357	28.3018
0.807534	28.3375
0.808232	28.3732
0.809797	28.4089
0.810325	28.4446
0.811021	28.4804
0.811725	28.5161
0.812402	28.5518
0.813063	28.5875
0.853152	28.6232
0.853851	28.6589
0.855899	28.6946
0.864172	28.7304
0.865549	28.7661
0.866206	28.8018
0.866919	28.8375
0.867588	28.8732
0.869099	28.9089
0.86992	28.9446
0.870429	28.9804
0.871153	29.0161
0.871808	29.0506
0.872474	29.085
0.873369	29.1195
0.873898	29.154
0.875233	29.1885
0.877289	29.223
0.880728	29.2575
0.881403	29.2919
0.89199	29.3264
0.892679	29.3609
0.893344	29.3954
0.89419	29.4299
0.894707	29.4644
0.896139	29.4988
0.896832	29.5333
0.897494	29.5678
0.913365	29.6023
0.914738	29.6368
0.932901	29.6713
0.934951	29.7057
0.935641	29.7402
0.936993	29.7747
0.938379	29.8092
0.939749	29.8437
0.941147	29.8781
0.943871	29.9126
0.946615	29.9471
0.951437	29.9816
0.952812	30.0161
0.967945	30.0494
0.97004	30.0827
0.974087	30.1161
0.98765	30.1494
0.988339	30.1827
0.98907	30.2161
0.992621	30.2494
0.99397	30.2827
0.99431	30.3161
1.02781	30.3494
1.0339	30.3827
1.0373	30.4161
1.04008	30.4494
1.04146	30.4827
1.04352	30.5161
1.04556	30.5494
1.04764	30.5827
1.05328	30.6161
