segment	rtt	rttvar	srtt	rto
0	386.68	193.34	386.68	1933.4
1	388.115	183.745	386.716	1856.67
2	390.736	176.256	386.8	1796.85
3	392.84	169.164	386.926	1740.24
4	398.312	163.529	387.129	1695.36
5	400.424	158.164	387.366	1652.67
6	405.56	153.789	387.651	1617.97
7	408.838	149.646	387.982	1585.15
8	411.44	146.14	388.307	1557.43
9	416.868	142.874	388.704	1531.7
10	105.931	146.372	385.169	1556.14
11	108.661	149.625	381.713	1578.72
12	113.503	152.32	378.665	1597.23
13	118.392	154.774	375.708	1613.9
14	117.444	156.93	373.017	1628.46
15	118.992	158.953	370.371	1641.99
16	121.607	160.68	367.979	1653.42
17	122.299	162.314	365.617	1664.13
18	120.498	163.793	363.428	1673.77
19	121.004	165.197	361.264	1682.84
20	120.96	166.449	359.261	1690.85
21	124.285	167.591	357.303	1698.03
22	122.108	168.647	355.466	1704.65
23	124.029	169.629	353.658	1710.69
24	122.493	170.533	351.958	1716.23
25	125.651	171.354	350.294	1721.12
26	128.599	172.053	348.754	1725.18
27	132.842	172.662	347.255	1728.55
28	132.739	173.213	345.844	1731.55
29	134.227	173.718	344.451	1734.2
30	245.717	172.781	343.834	1726.08
31	247.261	171.828	343.231	1717.86
32	245.732	170.943	342.65	1710.2
33	246.364	170.054	342.077	1702.51
34	252.856	169.136	341.57	1694.66
35	253.518	168.215	341.07	1686.79
36	250.23	167.374	340.576	1679.56
37	250.805	166.53	340.088	1672.33
38	253.224	165.7	339.636	1665.24
39	254.449	164.861	339.192	1658.08
40	258.523	164.02	338.789	1650.95
41	259.876	163.168	338.394	1643.74
42	266.097	162.295	338.047	1636.4
43	274.696	161.343	337.742	1628.49
44	282.743	160.359	337.488	1620.36
45	284.936	159.36	337.244	1612.13
46	285.373	158.401	337.013	1604.22
47	286.775	157.435	336.789	1596.27
50	286.176	156.514	336.57	1588.68
51	286.544	155.596	336.355	1581.12
52	287.643	154.705	336.152	1573.79
53	288.947	153.81	335.955	1566.43
56	289.006	152.948	335.766	1559.35
57	291.119	152.074	335.586	1552.18
58	296.836	151.189	335.434	1544.95
59	298.288	150.298	335.289	1537.67
60	299.164	149.433	335.152	1530.62
61	302.618	148.548	335.029	1523.41
64	312.128	147.624	334.945	1515.93
65	314.132	146.691	334.868	1508.4
69	311.428	145.811	334.785	1501.27
62	466.527	145.71	335.255	1500.94
63	474.04	145.662	335.737	1501.04
66	471.284	145.592	336.208	1500.94
67	471.923	145.525	336.666	1500.87
68	471.259	145.451	337.121	1500.73
70	387.364	144.825	337.286	1495.89
71	387.889	144.205	337.453	1491.09
72	388.427	143.608	337.616	1486.48
73	390.62	143.027	337.786	1482
74	395.602	142.494	337.967	1477.92
75	397.656	141.977	338.153	1473.97
76	399.609	141.486	338.341	1470.23
77	399.88	140.998	338.528	1466.51
78	413.88	140.607	338.752	1463.61
79	415.34	140.226	338.98	1460.79
80	417.456	139.867	339.209	1458.15
81	418.702	139.516	339.44	1455.57
82	421.788	139.192	339.674	1453.21
83	423.307	138.876	339.911	1450.92
84	426.809	138.587	340.153	1448.85
85	428.993	138.311	340.399	1446.89
86	426.305	138.026	340.633	1444.84
87	430.479	137.764	340.877	1442.99
88	430.554	137.508	341.115	1441.18
89	436.786	137.286	341.37	1439.66
90	441.486	137.092	341.631	1438.37
