host,hit,cold_miss,suppress_miss,retry_miss
client0,3777,151125,19,11965
client1,3512,158995,10,14048
client2,4341,157159,6,14786
client3,3656,154533,16,17922
client4,3421,157286,4,12437
client5,3582,154350,8,14783
client6,3313,168056,15,16448
client7,3770,156702,8,17547
client8,2290,152123,7,16683
client9,2716,166892,12,13991
client10,2473,164501,5,13341
client11,3592,158175,10,16444
client12,2803,154454,12,12116
client13,4367,149727,12,15175
client14,3273,158178,8,18832
client15,3416,166414,3,13272
s0,15060,271888,8386,43089
s1,10710,281067,12567,42214
s2,9889,288267,7159,35074
s3,10274,297402,9254,42578
s4,15568,276342,9998,46536
s5,18567,273162,14178,47357
s6,12707,278540,3542,38588
s7,11656,295326,6998,43032
s8,13449,479198,10529,84977
s9,12703,502295,11360,80349
s10,15223,477233,9671,88305
s11,13537,493718,10509,82379
s12,25216,724087,11156,138639
s13,30990,725995,8887,129649
