consumer/producer(seconds),pro0,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10,pro11,pro12,pro13,pro14,pro15
con0,,12.0956,30.8783,33.6004,71.1471,47.4201,91.6963,53.8603,126.427,146.302,125.848,111.515,155.477,159.524,128.06,161.516
con1,13.6997,,32.263,26.4873,71.1311,47.4289,91.7573,53.8621,157.861,145.521,125.862,111.519,154.217,109.448,128.07,160.171
con2,31.1726,32.8896,,11.3945,71.1268,95.4768,94.274,94.7569,125.481,155.299,156.63,142.031,162.895,109.447,128.062,150.187
con3,31.1688,32.8891,13.9343,,71.1202,89.2854,95.2833,89.2774,125.481,145.519,161.237,142.02,154.533,109.438,155.146,150.184
con4,68.1559,90.8383,83.1124,60.0688,,13.678,33.8058,35.0971,125.485,147.327,160.175,118.375,161.038,160.753,153.738,125.361
con5,90.0212,92.5922,83.1322,60.0882,12.2617,,33.7984,35.5095,,147.328,162.172,162.535,163.536,159.874,154.104,125.24
con6,68.1527,83.879,88.0157,60.0823,30.2302,34.0011,,15.1838,133.81,159.682,156.638,118.387,153.349,151.343,158.845,150.186
con7,68.1557,83.8606,88.025,60.072,35.0972,32.1946,12.9435,,133.804,147.31,160.319,142.02,154.543,111.478,159.503,125.351
con8,115.65,139.271,157.458,150.332,158.007,106.907,153.174,99.0457,,13.1896,31.4714,35.9889,42.4409,63.7277,52.4139,91.8863
con9,153.539,160.758,153.108,110.909,138.382,106.493,160.756,99.0409,14.0622,,31.4659,34.3633,42.4474,63.7327,52.4015,92.8882
con10,115.843,139.265,111.522,110.905,112.242,145.267,152.276,115.95,34.3133,31.9923,,13.3533,73.0177,63.7412,88.5588,51.6772
con11,115.849,139.266,111.524,110.915,112.259,156.891,152.059,128.439,34.3364,35.3169,12.9849,,73.0267,86.3267,88.5394,51.6778
con12,122.306,,,161.206,138.272,156.891,152.201,150.327,56.2064,77.6216,84.0455,51.8555,,13.2632,36.7051,36.8653
con13,160.965,137.413,127.062,147.635,138.256,,153.161,150.308,56.207,77.4022,91.1903,51.8496,13.2069,,35.6026,35.3774
con14,83.7259,,122.587,96.7598,138.26,156.905,160.569,161.25,92.5509,90.3365,84.0529,89.87,33.9735,34.2607,,12.3346
con15,83.7393,149.608,111.125,96.7481,138.083,156.708,153.168,154.705,87.6431,77.6316,83.872,89.8656,33.9683,35.9955,13.6919,
