time	cwndsize
0.264384	11
0.266601	12
0.26826	13
0.269488	14
0.26958	15
0.272078	16
0.272195	17
0.274185	18
0.275521	19
0.275596	20
0.278025	21
0.280524	22
0.289834	23
0.292327	24
0.292484	25
0.303607	26
0.306162	27
0.306222	28
0.306343	29
0.309096	30
0.319342	31
0.321626	32
0.321692	33
0.323058	34
0.325066	35
0.329841	36
0.330524	37
0.330648	38
0.330769	39
0.33095	40
0.337174	41
0.337694	42
0.352735	43
0.35575	44
0.35584	45
0.358081	46
0.383082	47
0.38695	48
0.38775	49
0.388521	50
0.389039	51
0.389805	52
0.394159	53
0.399751	54
0.399828	55
0.401165	56
0.401877	57
0.402609	58
0.40569	59
0.405905	60
0.426849	61
0.432972	62
0.433145	63
0.433233	64
0.437244	65
0.437306	66
0.440555	67
0.450584	68
0.450727	69
0.452595	70
0.453323	71
0.454061	72
0.458225	73
0.459115	74
0.459742	75
0.460263	76
0.460316	77
0.463384	78
0.463926	79
0.464035	80
0.464137	81
0.467524	82
0.472649	83
0.472793	84
0.477537	85
0.478887	86
0.483043	87
0.485251	88
0.485484	89
0.485854	90
0.487594	91
0.492204	92
0.505012	46
0.505082	46.0217
0.513383	46.0435
0.513413	46.0652
0.513505	46.087
0.519205	46.1087
0.519233	46.1304
0.522461	46.1522
0.522595	46.1739
0.522623	46.1957
0.522713	46.2174
0.52274	46.2391
0.531071	46.2609
0.531893	46.2826
0.532079	46.3043
0.535316	46.3261
0.535373	46.3478
0.535441	46.3696
0.535518	46.3913
0.535589	46.413
0.535618	46.4348
0.541106	46.4565
0.542183	46.4783
0.542372	46.5
0.547546	46.5217
0.547636	46.5435
0.54766	46.5652
0.553162	46.587
0.569875	46.6087
0.574387	46.6304
0.574658	46.6522
0.574799	46.6739
0.578584	46.6957
0.579057	46.7174
0.579225	46.7391
0.588083	46.7609
0.591574	46.7826
0.603003	46.8043
0.603092	46.8261
0.603189	46.8478
0.603307	46.8696
0.609737	46.8913
0.61013	46.913
0.610313	46.9348
0.615162	46.9565
0.615299	46.9783
0.61551	47
0.615635	47.0217
0.623828	47.043
0.626206	47.0643
0.626245	47.0856
0.62626	47.1068
0.628726	47.1281
0.62875	47.1494
0.628878	47.1707
0.634627	47.192
0.634725	47.2132
0.637286	47.2345
0.637374	47.2558
0.637424	47.2771
0.637468	47.2983
0.648831	47.3196
0.653479	47.3409
0.653514	47.3622
0.655272	47.3834
0.658943	47.4047
0.659078	47.426
0.659179	47.4473
0.65934	47.4685
0.66447	47.4898
0.664549	47.5111
0.669871	47.5324
0.670321	47.5537
0.670375	47.5749
0.675378	47.5962
0.675441	47.6175
0.675471	47.6388
0.675498	47.66
0.675583	47.6813
0.681068	47.7026
0.681144	47.7239
0.681181	47.7451
0.681329	47.7664
0.68137	47.7877
0.686217	47.809
0.68625	47.8302
0.686336	47.8515
0.686454	47.8728
0.686502	47.8941
0.690127	47.9154
0.690176	47.9366
0.701033	23.9683
0.701095	24.0118
0.70128	24.0535
0.701314	24.0951
0.701334	24.1368
0.711818	24.1785
0.711848	24.2201
0.712199	24.2618
0.712278	24.3035
0.712349	24.3451
0.71519	24.3868
0.715217	24.4285
0.717826	24.4701
0.717851	24.5118
0.723149	24.5535
0.723292	24.5951
0.723331	24.6368
0.728189	24.6785
0.728246	24.7201
0.728382	24.7618
0.730614	24.8035
0.730673	24.8451
0.730835	24.8868
0.7337	24.9285
0.733767	24.9701
0.73382	25.0118
0.740291	25.0518
0.745618	25.0918
0.745683	25.1318
0.751091	25.1718
0.751223	25.2118
0.753602	25.2518
0.753652	25.2918
0.756278	25.3318
0.756455	25.3718
0.756523	25.4118
0.756552	25.4518
0.761661	25.4918
0.761692	25.5318
0.761787	25.5718
0.761931	25.6118
0.762044	25.6518
0.762118	25.6918
0.762194	25.7318
0.767419	25.7718
0.772873	25.8118
0.783535	25.8518
0.805669	25.8918
0.82246	25.9318
0.823459	25.9718
0.82353	26.0118
0.823621	26.0503
0.828502	26.0887
0.828541	26.1272
0.828607	26.1656
0.840187	26.2041
0.84021	26.2426
0.840292	26.281
0.845567	26.3195
0.845625	26.3579
0.845707	26.3964
0.845841	26.4349
0.851318	26.4733
0.851426	26.5118
0.851522	26.5503
0.851596	26.5887
0.851708	26.6272
0.856695	26.6656
0.856777	26.7041
0.856935	26.7426
0.862198	26.781
0.878519	26.8195
0.900564	26.8579
0.911258	26.8964
0.911426	26.9349
0.911622	26.9733
0.911806	27.0118
0.916663	27.0488
0.916891	27.0859
0.917014	27.1229
0.917101	27.1599
0.922172	27.197
0.922227	27.234
0.922334	27.2711
0.922449	27.3081
0.929387	27.3451
0.929592	27.3822
0.929725	27.4192
0.929861	27.4562
0.929989	27.4933
0.930112	27.5303
0.939045	27.5674
0.939077	27.6044
0.93909	27.6414
0.944896	27.6785
0.945001	27.7155
0.949598	27.7525
0.967177	27.7896
0.9833	27.8266
0.998861	27.8636
0.999141	27.9007
0.999353	27.9377
1.00467	27.9748
1.0048	28.0118
1.00492	28.0475
1.00506	28.0832
1.00979	28.1189
1.00982	28.1547
1.00991	28.1904
1.01033	28.2261
1.01038	28.2618
1.0157	28.2975
1.02087	28.3332
1.02094	28.3689
1.02101	28.4047
1.02122	28.4404
1.02621	28.4761
1.02634	28.5118
1.02651	28.5475
1.0266	28.5832
1.03188	28.6189
1.04278	28.6547
1.04286	28.6904
1.04305	28.7261
1.04822	28.7618
