segment	rtt	rttvar	srtt	rto
0	272.165	136.082	272.165	1360.82
1	273.617	129.351	272.201	1307.01
2	279.516	124.266	272.354	1266.48
3	279.575	119.389	272.504	1227.62
4	279.65	115.381	272.632	1195.68
5	283.184	111.637	272.82	1165.91
6	284.001	108.497	272.995	1140.97
7	284.15	105.456	273.169	1116.81
8	287.962	102.937	273.375	1096.87
9	288.002	100.484	273.578	1077.45
10	19.233	104.331	270.398	1105.04
11	19.5287	107.994	267.263	1131.22
12	21.2193	111.132	264.467	1153.52
13	22.4515	114.106	261.716	1174.57
14	22.2944	116.717	259.222	1192.96
15	22.419	119.219	256.756	1210.51
16	23.6734	121.408	254.515	1225.78
17	23.7315	123.512	252.296	1240.39
18	23.9386	125.384	250.257	1253.33
19	28.1755	127.111	248.274	1265.16
20	25.3438	128.708	246.416	1276.08
21	25.5485	130.244	244.575	1286.53
22	24.9804	131.64	242.86	1295.98
23	28.0213	132.94	241.181	1304.7
24	27.9703	134.12	239.614	1312.58
25	30.1803	135.228	238.074	1319.9
26	26.6429	136.286	236.605	1326.89
27	26.9969	137.305	235.15	1333.59
28	31.9799	138.171	233.813	1339.18
29	33.2693	138.992	232.494	1344.43
30	32.1027	139.759	231.241	1349.32
31	33.6049	140.483	230.006	1353.87
32	37.9909	141.096	228.863	1357.63
33	38.8211	141.679	227.732	1361.16
34	35.723	142.251	226.641	1364.65
35	35.7804	142.803	225.557	1367.98
36	34.9166	143.323	224.521	1371.11
37	40.0757	143.77	223.518	1373.68
38	39.4758	144.19	222.56	1376.08
39	39.8282	144.591	221.608	1378.34
40	39.8525	144.963	220.699	1380.4
41	39.9967	145.32	219.796	1382.36
42	38.8762	145.663	218.926	1384.23
43	39.6384	145.986	218.064	1385.95
44	48.196	146.207	217.277	1386.93
45	49.0881	146.411	216.499	1387.78
46	48.8413	146.6	215.75	1388.55
47	48.8841	146.781	215.005	1389.25
48	45.0002	146.981	214.273	1390.12
49	45.0811	147.173	213.543	1390.93
50	49.4992	147.313	212.86	1391.37
51	49.5687	147.447	212.179	1391.75
52	49.4697	147.57	211.523	1392.08
53	54.3739	147.647	210.89	1392.07
54	54.7397	147.713	210.28	1391.99
55	54.9698	147.773	209.673	1391.85
56	52.0409	147.847	209.076	1391.86
57	57.5005	147.876	208.502	1391.51
58	57.4503	147.899	207.946	1391.14
59	57.5268	147.918	207.393	1390.73
60	55.3787	147.947	206.85	1390.42
61	55.4257	147.972	206.31	1390.08
62	55.1869	147.994	205.785	1389.73
63	59.7803	147.98	205.278	1389.12
64	59.5808	147.964	204.786	1388.5
65	59.6567	147.945	204.295	1387.86
66	54.9274	147.955	203.804	1387.44
67	60.2017	147.926	203.332	1386.74
68	59.0585	147.902	202.869	1386.09
69	59.7745	147.872	202.411	1385.38
70	57.6249	147.852	201.958	1384.78
71	58.3408	147.826	201.509	1384.12
72	61.4806	147.778	201.082	1383.31
73	61.5574	147.728	200.657	1382.48
74	57.2227	147.702	200.23	1381.85
75	57.3637	147.674	199.805	1381.19
76	61.82	147.617	199.404	1380.34
77	61.8856	147.559	199.004	1379.47
78	61.9762	147.499	198.615	1378.61
79	62.6493	147.433	198.229	1377.69
80	62.8157	147.366	197.852	1376.78
81	66.8345	147.276	197.488	1375.69
82	66.5453	147.187	197.133	1374.63
83	66.6478	147.096	196.778	1373.55
