[2025-07-08 18:54:57.268] [producer_logger] [debug] Started producer
[2025-07-08 18:54:57.268] [producer_logger] [debug] Finished reading configuration file
[2025-07-08 18:54:57.270] [producer_logger] [info] Loading input ...
[2025-07-08 18:55:07.338] [producer_logger] [info] Interest: /test/data/1/test.txt/seg=0
[2025-07-08 18:55:07.338] [producer_logger] [info] Loading input ...
[2025-07-08 18:55:07.339] [producer_logger] [info] Published 1 Data packet(s)
[2025-07-08 18:55:07.339] [producer_logger] [info] Data: /test/data/1/test.txt/seg=0
[2025-07-08 18:55:07.339] [producer_logger] [info] Interest: /test/data/1/test.txt/seg=1
[2025-07-08 18:55:07.339] [producer_logger] [info] Loading input ...
[2025-07-08 18:55:07.339] [producer_logger] [info] Published 1 Data packet(s)
[2025-07-08 18:55:07.339] [producer_logger] [info] Interest cannot be satisfied, sending Nack
[2025-07-08 18:55:07.375] [producer_logger] [info] Interest: /test/data/1/medium_test.txt/seg=0
[2025-07-08 18:55:07.375] [producer_logger] [info] Loading input ...
[2025-07-08 18:55:07.375] [producer_logger] [info] Published 2 Data packet(s)
[2025-07-08 18:55:07.375] [producer_logger] [info] Data: /test/data/1/medium_test.txt/seg=0
[2025-07-08 18:55:07.375] [producer_logger] [info] Interest: /test/data/1/medium_test.txt/seg=1
[2025-07-08 18:55:07.375] [producer_logger] [info] Data: /test/data/1/medium_test.txt/seg=1
[2025-07-08 18:55:07.418] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=0
[2025-07-08 18:55:07.418] [producer_logger] [info] Loading input ...
[2025-07-08 18:55:07.446] [producer_logger] [info] Published 846 Data packet(s)
[2025-07-08 18:55:07.446] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=0
[2025-07-08 18:55:07.446] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=1
[2025-07-08 18:55:07.446] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=1
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=2
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=2
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=3
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=3
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=4
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=4
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=5
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=5
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=6
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=6
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=7
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=7
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=8
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=8
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=9
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=9
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=10
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=10
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=11
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=11
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=12
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=12
[2025-07-08 18:55:07.447] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=13
[2025-07-08 18:55:07.447] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=13
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=14
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=14
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=15
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=15
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=16
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=16
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=17
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=17
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=18
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=18
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=19
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=19
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=20
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=20
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=21
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=21
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=22
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=22
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=23
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=23
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=24
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=24
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=25
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=25
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=26
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=26
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=27
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=27
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=28
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=28
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=29
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=29
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=30
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=30
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=31
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=31
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=32
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=32
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=33
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=33
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=34
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=34
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=35
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=35
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=36
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=36
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=37
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=37
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=38
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=38
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=39
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=39
[2025-07-08 18:55:07.448] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=40
[2025-07-08 18:55:07.448] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=40
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=41
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=41
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=42
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=42
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=43
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=43
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=44
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=44
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=45
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=45
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=46
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=46
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=47
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=47
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=48
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=48
[2025-07-08 18:55:07.449] [producer_logger] [info] Interest: /test/data/1/large_test.txt/seg=49
[2025-07-08 18:55:07.449] [producer_logger] [info] Data: /test/data/1/large_test.txt/seg=49
